athlete_id,name,week,jump_height_cm,ball_control_touches,serve_accuracy_pct,reception_efficiency_pct,attack_rate_pct,sessions_per_week,rest_days,ipg
ATH001,Italo Ferreira,1,58,42,68,71,64,3,2,0.660
ATH001,Italo Ferreira,2,59,43,69,72,65,3,2,0.671
ATH001,Italo Ferreira,3,58,44,68,71,64,4,2,0.665
ATH001,Italo Ferreira,4,60,45,70,72,66,4,1,0.683
ATH002,Elana Ferreira,1,45,38,72,68,58,2,3,0.603
ATH002,Elana Ferreira,2,46,39,72,69,59,2,3,0.612
ATH002,Elana Ferreira,3,45,40,73,69,59,3,3,0.613
ATH002,Elana Ferreira,4,47,40,74,70,60,3,2,0.625
ATH003,Ingrid Pontes,1,52,55,78,76,70,4,2,0.713
ATH003,Ingrid Pontes,2,52,56,78,76,71,4,2,0.717
ATH003,Ingrid Pontes,3,53,56,79,77,70,4,2,0.723
ATH003,Ingrid Pontes,4,52,57,78,76,71,4,1,0.720
ATH004,Felipe Silva,1,61,47,65,73,67,3,2,0.685
ATH004,Felipe Silva,2,62,48,66,73,68,3,2,0.694
ATH004,Felipe Silva,3,61,48,65,74,67,4,2,0.689
ATH004,Felipe Silva,4,63,49,67,74,68,4,1,0.703
ATH005,Filippo Alvim Cupolillo Bruno,1,55,40,70,69,62,2,3,0.643
ATH005,Filippo Alvim Cupolillo Bruno,2,56,41,71,70,63,2,3,0.654
ATH005,Filippo Alvim Cupolillo Bruno,3,55,42,70,70,62,3,3,0.650
ATH005,Filippo Alvim Cupolillo Bruno,4,57,42,72,71,63,3,2,0.664
